id,produto,quantidade,preço,data
1,camisa,3,29.90,01/01/2024
2,shorts,4,60.00,02/01/2024
3,botas,5,110.00,03/01/2024
4,luvas,10,7.00,04/01/2024
5,faixa de cabelo,7,12.00,05/01/2024
6,jaqueta,6,50.00,06/01/2024
7,sunga,8,45.00,07/01/2024
8,sapato,3,120.00,08/01/2024
9,capa de chuva,10,15.00,09/01/2024
10,blazer,3,140.00,10/01/2024
11,pasta,8,20.00,11/01/2024
12,revista,12,18.00,12/01/2024
13,agenda,20,10.00,13/01/2024
14,caneta,25,1.20,14/01/2024
15,apontador,30,0.80,15/01/2024
16,cola,9,2.80,16/01/2024
17,régua,10,4.00,17/01/2024
18,canetinha,7,5.50,18/01/2024
19,papel ofício,5,20.00,19/01/2024
20,organizador,6,28.00,20/01/2024
21,fone de ouvido,6,75.00,21/01/2024
22,teclado,8,50.00,22/01/2024
23,extensão,7,25.00,23/01/2024
24,adaptador,12,12.00,24/01/2024
25,pilha AA,15,2.00,25/01/2024
26,relógio,5,40.00,26/01/2024
27,quadro,6,22.00,27/01/2024
28,frame,3,95.00,28/01/2024
29,ventilador,2,140.00,29/01/2024
30,termômetro,4,55.00,30/01/2024
31,furadeira,3,190.00,31/01/2024
32,panela,6,110.00,01/02/2024
42,moinho de café,5,75.00,02/02/2024
43,frigideira,7,35.00,03/02/2024
44,liquidificador,6,50.00,04/02/2024
47,processador de alimentos,3,300.00,05/02/2024
48,micro-ondas,4,400.00,06/02/2024
49,torradeira,5,60.00,07/02/2024
50,escova de dentes,10,5.00,08/02/2024
51,desumidificador,3,150.00,09/02/2024
65,carregador de celular,8,25.00,10/02/2024
66,almofada,7,30.00,11/02/2024
67,toalha,6,20.00,12/02/2024
68,mesinha,4,80.00,13/02/2024
69,geladeira,2,1500.00,14/02/2024
70,ventilador de mesa,5,55.00,15/02/2024
71,lâmpada,10,10.00,16/02/2024
72,sofá,3,600.00,17/02/2024
73,cadeira,4,120.00,18/02/2024
74,tapete,2,90.00,19/02/2024
75,livro,6,25.00,20/02/2024
76,caneca,8,15.00,21/02/2024
77,prato,12,5.00,22/02/2024
78,tigela,10,8.00,23/02/2024
79,garfo e faca,14,12.00,24/02/2024
80,panela de pressão,5,120.00,25/02/2024
81,coqueteleira,7,20.00,26/02/2024
82,batedeira,4,150.00,27/02/2024
99,cesto de lixo,6,18.00,28/02/2024